"id","pid","start_date","allocation_ratio","post_trade_co","phone_number","asset_id"
"1","1","2021-12-12 10:15:45","0.300","SGX","81067405","SG31A7000004"
"2","1","2023-01-01 09:12:33","0.300","SGX","81232345","SG31A7000004"
"3","1","2023-11-01 08:30:33","0.300","SGX","81241249","SG31A7000004"
"4","1","2022-10-10 14:20:20","0.300","SGX","81548849","SG31A7000004"
"5","1","2023-04-04 18:03:28","0.300","SGX","82340987","SG31A7000004"
"6","1","2022-09-01 08:30:55","0.300","SGX","83248451","SG31A7000004"
"7","1","2023-08-15 11:12:10","0.300","SGX","86093078","SG31A7000004"
"8","1","2021-07-01 14:22:33","0.300","SGX","86408389","SG31A7000004"
"9","1","2022-06-15 16:55:40","0.300","SGX","86916680","SG31A7000004"
"10","1","2023-05-01 10:45:01","0.300","SGX","86999698","SG31A7000004"
"11","1","2022-04-05 13:11:20","0.300","SGX","87346813","SG31A7000004"
"12","1","2023-03-10 09:30:50","0.300","SGX","88597986","SG31A7000004"
"13","1","2021-01-15 09:45:10","0.300","SGX","89950123","SG31A7000004"
"14","1","2024-02-20 14:11:58","0.300","SGX","90123456","SG31A7000004"
"15","1","2020-05-10 16:27:19","0.300","Moomoo","90657890","SG31A8000003"
"16","1","2023-01-01 10:10:10","0.300","Moomoo","91430257","SG31A8000003"
"17","1","2023-08-01 17:09:04","0.300","Moomoo","92226789","SG31A8000003"
"18","1","2021-02-25 12:12:25","0.300","Moomoo","92347678","SG31A8000003"
"19","1","2020-01-18 11:00:45","0.300","Moomoo","92948260","SG31A8000003"
"20","1","2022-10-10 15:14:46","0.300","Moomoo","93086574","SG31A8000003"
"21","1","2024-01-01 11:05:45","0.300","Moomoo","93456789","SG31A8000003"
"22","1","2023-01-25 14:05:20","0.300","Moomoo","93641335","SG31A8000003"
"23","1","2022-02-18 15:40:00","0.300","Moomoo","94612498","SG31A8000003"
"24","1","2022-11-11 12:57:48","0.300","Moomoo","94786234","SG31A8000003"
"25","1","2023-03-12 13:50:10","0.300","Moomoo","94798210","SG31A8000003"
"26","1","2021-04-23 09:15:50","0.300","Moomoo","95067720","SG31A8000003"
"27","1","2023-05-30 11:25:33","0.300","Moomoo","95177723","SG31A8000003"
"28","1","2023-03-12 16:33:09","0.300","Saxo","95551234","SGXF13029610"
"29","1","2023-06-10 12:30:15","0.300","Saxo","95766485","SGXF13029610"
"30","1","2023-01-01 10:18:29","0.300","Saxo","96547890","SGXF13029610"
"31","1","2023-07-05 10:10:50","0.300","Saxo","96827418","SGXF13029610"
"32","1","2023-07-07 19:52:11","0.300","Saxo","97543123","SGXF13029610"
"33","1","2020-08-19 13:45:33","0.300","Saxo","97858928","SGXF13029610"
"34","1","2023-06-01 07:30:55","0.300","Saxo","97861234","SGXF13029610"
"35","1","2023-03-03 13:41:36","0.300","Saxo","98324567","SGXF13029610"
"36","1","2023-09-01 08:22:17","0.300","Saxo","98765432","SGXF13029610"
"37","2","2023-03-01 09:13:34","0.300","SGX","81232345","SG31A8000003"
"38","2","2020-11-01 11:15:45","0.300","SGX","93456789","SG31A8000003"
"39","2","2020-03-12 16:33:19","0.300","SGX","95551234","SG31A8000003"
"40","2","2023-09-11 00:22:17","1.000","SGX","98765432","SG31A8000003"
"41","2","2023-12-31 23:10:59","0.300","SGX","90123456","SGXF51035222"
"42","2","2023-12-30 17:09:04","0.300","SGX","92226789","SGXF51035222"
"43","2","2023-11-30 10:18:29","0.300","SGX","96547890","SGXF51035222"
