"name","phone_number"
"Yang Kai De","81067405"
"Zhuo Si Wen","81241249"
"Blake Wood","81548849"
"How Rui En","83248451"
"Shen Shu Qi","86093078"
"Goh Jun Cheng","86408389"
"Lam Zi Rui","86916680"
"Beh Kai De","86999698"
"Zhuo En Hui","87346813"
"Qin Xin En","88597986"
"Chen Kai Ming","92347678"
"Hong Kai Ming","92948260"
"Ho Jia Xin","93641335"
"Teng Yong Rui","94612498"
"Beh De Kang","94798210"
"Liew Zhi Xin","95067720"
"Du Kai Xin","95177723"
"Chia Jia Wen","95766485"
"Clyaton Hammond","96827418"
"Zeng Kai Hui","97858928"
