"id","pid","start_date","allocation_ratio","post_trade_co","phone_number","asset_id"
"1","1","2021-12-12 10:15:45","0.500","Vanguard","81067405","AAPL"
"2","1","2023-01-01 09:12:33","0.500","Vanguard","81232345","AAPL"
"3","1","2023-11-01 08:30:33","0.500","Vanguard","81241249","AAPL"
"4","1","2022-10-10 14:20:20","0.500","Vanguard","81548849","AAPL"
"5","1","2023-04-04 18:03:28","0.500","Vanguard","82340987","AAPL"
"6","1","2022-09-01 08:30:55","0.500","Vanguard","83248451","AAPL"
"7","1","2023-08-15 11:12:10","0.500","Vanguard","86093078","AAPL"
"8","1","2021-07-01 14:22:33","0.500","Vanguard","86408389","AAPL"
"9","1","2022-06-15 16:55:40","0.500","Vanguard","86916680","AAPL"
"10","1","2023-05-01 10:45:01","0.500","Vanguard","86999698","AAPL"
"11","1","2022-04-05 13:11:20","0.500","Vanguard","87346813","AAPL"
"12","1","2023-03-10 09:30:50","0.500","Vanguard","88597986","AAPL"
"13","1","2021-01-15 09:45:10","0.500","Vanguard","89950123","AAPL"
"14","1","2024-02-20 14:11:58","0.500","Vanguard","90123456","AAPL"
"15","1","2020-05-10 16:27:19","0.500","SGX","90657890","AMZN"
"16","1","2023-01-01 10:10:10","0.500","SGX","91430257","AMZN"
"17","1","2023-08-01 17:09:04","0.500","SGX","92226789","AMZN"
"18","1","2021-02-25 12:12:25","0.500","SGX","92347678","AMZN"
"19","1","2020-01-18 11:00:45","0.500","SGX","92948260","AMZN"
"20","1","2022-10-10 15:14:46","0.500","SGX","93086574","AMZN"
"21","1","2024-01-01 11:05:45","0.500","SGX","93456789","AMZN"
"22","1","2023-01-25 14:05:20","0.500","SGX","93641335","AMZN"
"23","1","2022-02-18 15:40:00","0.500","SGX","94612498","AMZN"
"24","1","2022-11-11 12:57:48","0.500","SGX","94786234","AMZN"
"25","1","2023-03-12 13:50:10","0.500","SGX","94798210","AMZN"
"26","1","2021-04-23 09:15:50","0.500","SGX","95067720","AMZN"
"27","1","2023-05-30 11:25:33","0.500","SGX","95177723","AMZN"
"28","1","2023-03-12 16:33:09","0.500","Moomoo","95551234","NVDA"
"29","1","2023-06-10 12:30:15","0.500","Moomoo","95766485","NVDA"
"30","1","2023-01-01 10:18:29","0.500","Moomoo","96547890","NVDA"
"31","1","2023-07-05 10:10:50","0.500","Moomoo","96827418","NVDA"
"32","1","2023-07-07 19:52:11","0.500","Moomoo","97543123","NVDA"
"33","1","2020-08-19 13:45:33","0.500","Moomoo","97858928","NVDA"
"34","1","2023-06-01 07:30:55","0.500","Moomoo","97861234","NVDA"
"35","1","2023-03-03 13:41:36","0.500","Moomoo","98324567","NVDA"
"36","1","2023-09-01 08:22:17","0.500","Moomoo","98765432","NVDA"
"37","2","2023-03-01 09:13:34","0.500","Moomoo","81232345","JPM"
"38","2","2020-11-01 11:15:45","0.500","Moomoo","93456789","JPM"
"39","2","2020-03-12 16:33:19","0.500","Moomoo","95551234","JPM"
"40","2","2023-12-31 23:10:59","0.500","Vanguard","90123456","META"
"41","2","2023-12-30 17:09:04","0.500","Vanguard","92226789","META"
"42","2","2023-11-30 10:18:29","0.500","Vanguard","96547890","META"
"43","3","2023-12-31 23:12:59","1.000","Vanguard","90123456","GOOGL"
"44","2","2023-03-04 14:41:36","1.000","Vanguard","98324567","GOOGL"
